Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load
dish_1550705288,potatoes,100,17,70,11.9
dish_1550705477,potatoes,100,17,70,11.9
dish_1550705504,potatoes,100,17,70,11.9
dish_1550705888,potatoes,93,15.81,70,11.067
dish_1550706945,potatoes,118,20.06,70,14.042
dish_1550707110,potatoes,118,20.06,70,14.042
dish_1550707156,potatoes,118,20.06,70,14.042
dish_1550707357,oatmeal,136,16.32,60,9.792
dish_1550711187,potatoes,82,13.94,70,9.758
dish_1550711244,oatmeal,174,20.88,60,12.528
dish_1550711314,potatoes,82,13.94,70,9.758
dish_1550711314,oatmeal,174,20.88,60,12.528
dish_1550711385,potatoes,82,13.94,70,9.758
dish_1550711385,oatmeal,174,20.88,60,12.528
dish_1550772199,potatoes,79,13.43,70,9.401
dish_1550772270,potatoes,79,13.43,70,9.401
dish_1550772314,potatoes,79,13.43,70,9.401
dish_1550778583,potatoes,88,14.96,70,10.472
dish_1550785808,white rice,81,22.68,70,15.876
dish_1550785915,white rice,81,22.68,70,15.876
dish_1550785975,white rice,81,22.68,70,15.876
dish_1550789814,white rice,82,22.96,70,16.072
dish_1550789860,white rice,82,22.96,70,16.072
dish_1550790042,white rice,82,22.96,70,16.072
dish_1550791822,white rice,96,26.88,70,18.816
dish_1550791884,white rice,96,26.88,70,18.816
dish_1550791942,white rice,96,26.88,70,18.816
dish_1550793093,white rice,71,19.88,70,13.916
dish_1550793245,white rice,71,19.88,70,13.916
dish_1550793300,white rice,71,19.88,70,13.916
dish_1550793582,white rice,52,14.56,70,10.192
dish_1550793621,white rice,52,14.56,70,10.192
dish_1550793673,white rice,52,14.56,70,10.192
dish_1550795331,apple,282,39.48,36,14.2128
dish_1550795455,apple,282,39.48,36,14.2128
dish_1550795497,apple,282,39.48,36,14.2128
dish_1550860361,potatoes,100,17,70,11.9
dish_1550860444,potatoes,100,17,70,11.9
dish_1550860513,potatoes,100,17,70,11.9
dish_1551122795,oatmeal,129,15.48,60,9.288
dish_1551122914,oatmeal,129,15.48,60,9.288
dish_1551122952,oatmeal,129,15.48,60,9.288
dish_1551224647,apple,252,35.28,36,12.7008
dish_1551224787,apple,252,35.28,36,12.7008
