Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load,Class
dish_1550704750,chicken,83,0,0,0,1
dish_1550704903,bell peppers,76,6.84,15,1.026,1
dish_1550705288,potatoes,100,17,70,11.9,2
dish_1550705370,beef,49,0,0,0,1
dish_1550705445,cucumbers,40,0.8,15,0.12,1
dish_1550705477,potatoes,100,17,70,11.9,2
dish_1550705477,beef,49,0,0,0,2
dish_1550705477,cucumbers,40,0.8,15,0.12,2
dish_1550705504,potatoes,100,17,70,11.9,2
dish_1550705504,beef,49,0,0,0,2
dish_1550705504,cucumbers,40,0.8,15,0.12,2
dish_1550705535,cauliflower,75,3.75,15,0.5625,1
dish_1550705580,chicken,66,0,0,0,1
dish_1550705623,bell peppers,51,4.59,15,0.6885,1
dish_1550705669,chicken,66,0,0,0,1
dish_1550705669,bell peppers,51,4.59,15,0.6885,1
dish_1550705669,cauliflower,75,3.75,15,0.5625,1
dish_1550705724,bell peppers,51,4.59,15,0.6885,1
dish_1550705724,cauliflower,75,3.75,15,0.5625,1
dish_1550705724,chicken,66,0,0,0,1
dish_1550705888,potatoes,93,15.81,70,11.067,2
dish_1550705939,beef,38,0,0,0,1
dish_1550706096,bell peppers,45,4.05,15,0.6075,1
dish_1550706177,tomatoes,87,5.916,30,1.7748,1
dish_1550706448,cucumbers,85,1.7,15,0.255,1
dish_1550706583,chicken,151,0,0,0,1
dish_1550706639,cauliflower,89,4.45,15,0.6675,1
dish_1550706705,chicken,151,0,0,0,1
dish_1550706705,cucumbers,85,1.7,15,0.255,1
dish_1550706705,cauliflower,89,4.45,15,0.6675,1
dish_1550706766,cucumbers,85,1.7,15,0.255,1
dish_1550706766,chicken,151,0,0,0,1
dish_1550706766,cauliflower,89,4.45,15,0.6675,1
dish_1550706891,scrambled eggs,102,1.632,0,0,1
dish_1550706945,potatoes,118,20.06,70,14.042,2
dish_1550707056,sausage,117,4.914,0,0,1
dish_1550707110,sausage,117,4.914,0,0,2
dish_1550707110,scrambled eggs,102,1.632,0,0,2
dish_1550707110,potatoes,118,20.06,70,14.042,2
dish_1550707156,scrambled eggs,102,1.632,0,0,2
dish_1550707156,potatoes,118,20.06,70,14.042,2
dish_1550707156,sausage,117,4.914,0,0,2
dish_1550707357,oatmeal,136,16.32,60,9.792,1
dish_1550707504,scrambled eggs,85,1.36,0,0,1
dish_1550707756,beef,35,0,0,0,1
dish_1550707850,bell peppers,43,3.87,15,0.5805,1
dish_1550707914,carrot,29,2.9,30,0.87,1
dish_1550707958,beef,35,0,0,0,1
dish_1550707958,bell peppers,43,3.87,15,0.5805,1
dish_1550707958,carrot,29,2.9,30,0.87,1
dish_1550707995,carrot,29,2.9,30,0.87,1
dish_1550707995,beef,35,0,0,0,1
dish_1550707995,bell peppers,43,3.87,15,0.5805,1
dish_1550708152,tomatoes,59,4.012,30,1.2036,1
dish_1550708221,tofu,57,1.083,15,0.16245,1
dish_1550708280,cucumbers,54,1.08,15,0.162,1
dish_1550708327,tofu,57,1.083,15,0.16245,1
dish_1550708327,cucumbers,54,1.08,15,0.162,1
dish_1550708327,tomatoes,59,4.012,30,1.2036,1
dish_1550708366,tofu,57,1.083,15,0.16245,1
dish_1550708366,cucumbers,54,1.08,15,0.162,1
dish_1550708366,tomatoes,59,4.012,30,1.2036,1
dish_1550708440,pineapple,75,9.75,66,6.435,1
dish_1550708487,cheese,34,0.442,0,0,1
dish_1550708556,scrambled eggs,67,1.072,0,0,1
dish_1550708638,pineapple,75,9.75,66,6.435,1
dish_1550708638,cheese,34,0.442,0,0,1
dish_1550708638,scrambled eggs,67,1.072,0,0,1
dish_1550708702,cheese,34,0.442,0,0,1
dish_1550708702,scrambled eggs,67,1.072,0,0,1
dish_1550708702,pineapple,75,9.75,66,6.435,1
dish_1550708945,beef,37,0,0,0,1
dish_1550708985,bell peppers,72,6.48,15,0.972,1
dish_1550710177,pineapple,46,5.98,66,3.9468,1
dish_1550710207,chicken,91,0,0,0,1
dish_1550710279,carrot,22,2.2,30,0.66,1
