Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load
dish_1560455030,cherry tomatoes,55,2.145,30,0.644
dish_1560455030,cucumbers,29,0.58,15,0.087
dish_1560455030,baby carrots,19,1.9,30,0.570
dish_1565640549,tomatoes,10.700637,0.727643316,30,0.218
dish_1565640549,mustard greens,21.401274,1.005859878,32,0.322
dish_1565640549,onions,2.140127,0.19261143,15,0.029
dish_1565640549,cucumbers,10.700637,0.21401274,15,0.032
dish_1565640549,arugula,32.10191,1.18777067,15,0.178
dish_1565640549,jalapenos,1.070064,0.06955416,32,0.022
dish_1565640549,asparagus,34,1.326,15,0.199
dish_1565640549,mangos,10.700637,1.60509555,56,0.899
dish_1565640549,cherry tomatoes,10.700637,0.417324843,30,0.125
dish_1558549008,cherry tomatoes,115,4.485,30,1.346
dish_1566920365,sweet potato,156.097565,28.0975617,70,19.668
dish_1558459276,white rice,79,22.12,70,15.484
dish_1558724031,cherry tomatoes,107,4.173,30,1.252
dish_1558724031,cantaloupe,93,7.44,65,4.836
dish_1558724031,almonds,51,11.577,15,1.737
dish_1558724031,cauliflower,52,2.6,15,0.390
dish_1564761488,turkey bacon,21,0.651,0,0.000
dish_1564761488,fried rice,97,29.003,80,23.202
dish_1564761488,honeydew melons,113,10.17,65,6.610
dish_1558459115,almonds,20,4.54,15,0.681
dish_1558459115,apple,143,20.02,36,7.207
dish_1558459115,white rice,32,8.96,70,6.272
dish_1558459115,cherry tomatoes,61,2.379,30,0.714
dish_1558459115,grapes,42,7.56,56,4.234
dish_1558720236,apple,143,20.02,36,7.207
dish_1558720236,carrot,74,7.4,30,2.220
dish_1558720236,cauliflower,57,2.85,15,0.428
dish_1558720236,almonds,133,30.191,15,4.529
dish_1558380557,grapes,52,9.36,56,5.242
dish_1558380557,almonds,48,10.896,15,1.634
dish_1558380557,sausage,112,4.704,0,0.000
dish_1558724959,brussels sprouts,118,10.62,15,1.593
dish_1558724959,carrot,75,7.5,30,2.250
dish_1558724959,almonds,72,16.344,15,2.452
dish_1558724959,apple,161,22.54,36,8.114
dish_1559838402,bacon,8,0.112,0,0.000
dish_1559838402,sweet potato,59.5,10.71,70,7.497
dish_1559838402,yam,59.5,17.493,70,12.245
dish_1559838402,berries,106,14.84,35,5.194
dish_1559751801,berries,66,9.24,35,3.234
dish_1559751801,yam,66,19.404,70,13.583
dish_1559751801,eggs,122,1.464,0,0.000
dish_1559751801,chicken apple sausage,89,2.67,0,0.000
dish_1558457530,cauliflower,64,3.2,15,0.480
dish_1558723449,apple,143,20.02,36,7.207
dish_1566502505,sun dried tomatoes,3.075075,1.722042,35,0.603
dish_1566502505,pork,104.248215,0,0,0.000
dish_1566502505,corn on the cob,55,12.1,48,5.808
dish_1566502505,cucumbers,7.687688,0.15375376,15,0.023
dish_1566502505,onions,4.612613,0.41513517,15,0.062
dish_1566502505,white rice,14.892601,4.16992828,70,2.919
