Dish ID,Ingredient Name,Mass (g),Carbs (g),Glycemic Index,Glycemic Load
dish_1560455030,cherry tomatoes,55.0,2.145,30.0,0.6435
dish_1560455030,cucumbers,29.0,0.58,15.0,0.087
dish_1560455030,baby carrots,19.0,1.9,30.0,0.57
dish_1565640549,tomatoes,10.700637,0.727643316,30.0,0.2182929948
dish_1565640549,mustard greens,21.401274,1.005859878,32.0,0.32187516096
dish_1565640549,onions,2.140127,0.19261143,15.0,0.028891714500000002
dish_1565640549,cucumbers,10.700637,0.21401274,15.0,0.032101911000000004
dish_1565640549,arugula,32.10191,1.18777067,15.0,0.1781656005
dish_1565640549,jalapenos,1.070064,0.06955416,32.0,0.0222573312
dish_1565640549,asparagus,34.0,1.326,15.0,0.1989
dish_1565640549,mangos,10.700637,1.60509555,56.0,0.898853508
dish_1565640549,cherry tomatoes,10.700637,0.417324843,30.0,0.1251974529
dish_1558549008,cherry tomatoes,115.0,4.485,30.0,1.3455000000000001
dish_1566920365,sweet potato,156.097565,28.0975617,70.0,19.66829319
dish_1558459276,white rice,79.0,22.12,70.0,15.484000000000002
dish_1558724031,cherry tomatoes,107.0,4.173,30.0,1.2519
dish_1558724031,cantaloupe,93.0,7.44,65.0,4.836
dish_1558724031,almonds,51.0,11.577,15.0,1.73655
dish_1558724031,cauliflower,52.0,2.6,15.0,0.39
dish_1564761488,turkey bacon,21.0,0.651,0.0,0.0
dish_1564761488,fried rice,97.0,29.003,80.0,23.202399999999997
dish_1564761488,honeydew melons,113.0,10.17,65.0,6.610499999999999
dish_1558459115,almonds,20.0,4.54,15.0,0.6809999999999999
dish_1558459115,apple,143.0,20.02,36.0,7.2072
dish_1558459115,white rice,32.0,8.96,70.0,6.272
dish_1558459115,cherry tomatoes,61.0,2.379,30.0,0.7137
dish_1558459115,grapes,42.0,7.56,56.0,4.233599999999999
dish_1558720236,apple,143.0,20.02,36.0,7.2072
dish_1558720236,carrot,74.0,7.4,30.0,2.22
dish_1558720236,cauliflower,57.0,2.85,15.0,0.4275
dish_1558720236,almonds,133.0,30.191,15.0,4.52865
dish_1558380557,grapes,52.0,9.36,56.0,5.2416
dish_1558380557,almonds,48.0,10.896,15.0,1.6344
dish_1558380557,sausage,112.0,4.704,0.0,0.0
dish_1558724959,brussels sprouts,118.0,10.62,15.0,1.5929999999999997
dish_1558724959,carrot,75.0,7.5,30.0,2.25
dish_1558724959,almonds,72.0,16.344,15.0,2.4516000000000004
dish_1558724959,apple,161.0,22.54,36.0,8.1144
dish_1559838402,bacon,8.0,0.112,0.0,0.0
dish_1559838402,sweet potato,59.5,10.71,70.0,7.497000000000001
dish_1559838402,yam,59.5,17.493,70.0,12.2451
dish_1559838402,berries,106.0,14.84,35.0,5.194
dish_1559751801,berries,66.0,9.24,35.0,3.2340000000000004
dish_1559751801,yam,66.0,19.404,70.0,13.582799999999999
dish_1559751801,eggs,122.0,1.464,0.0,0.0
dish_1559751801,chicken apple sausage,89.0,2.67,0.0,0.0
dish_1558457530,cauliflower,64.0,3.2,15.0,0.48
dish_1558723449,apple,143.0,20.02,36.0,7.2072
dish_1566502505,sun dried tomatoes,3.075075,1.722042,35.0,0.6027147
dish_1566502505,pork,104.248215,0.0,0.0,0.0
dish_1566502505,corn on the cob,55.0,12.1,48.0,5.808
dish_1566502505,cucumbers,7.687688,0.15375376,15.0,0.023063064
dish_1566502505,onions,4.612613,0.41513517,15.0,0.0622702755
dish_1566502505,white rice,14.892601,4.16992828,70.0,2.918949796
dish_1566502505,spinach (raw),38.438438,1.383783768,15.0,0.2075675652
dish_1565383026,spinach (raw),57.0,2.052,15.0,0.3078
dish_1565383026,cucumbers,101.0,2.02,15.0,0.303
dish_1565383026,olives,129.0,8.127,15.0,1.2190500000000002
dish_1564778030,millet,10.995864,2.606019768,70.0,1.8242138375999999
dish_1564778030,spinach (cooked),2.748966,0.10995864,15.0,0.016493796
dish_1564778030,onions,2.748966,0.24740694,15.0,0.037111041
dish_1564778030,cheese pizza,39.0,13.065,80.0,10.452
dish_1564778030,broccoli,72.195122,5.05365854,15.0,0.758048781
dish_1564778030,mixed greens,10.553191,0.559319123,15.0,0.08389786845
dish_1564778030,blue cheese,6.331915,0.145634045,0.0,0.0
dish_1564778030,beef,82.468979,0.0,0.0,0.0
dish_1564778030,walnuts,4.221276,0.586757364,15.0,0.0880136046
dish_1564778030,lettuce,27.438297,0.795710613,15.0,0.11935659195
dish_1566838407,pineapple,145.0,18.85,66.0,12.441
dish_1566838407,scrambled eggs,65.0,1.04,0.0,0.0
